Model,Seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,mcc,log_loss,macro_precision,macro_recall,top2_accuracy,macro_auc,macro_ap,tag,seed,model_name,epochs_run,best_epoch,train_time_s,params,final_train_accuracy,best_val_accuracy,best_val_loss,cached,history_file
BiLSTM + temporal attention (proposed),1,0.9761904761904762,0.9761904761904763,0.9761720904578047,0.9761720904578046,0.9722222222222222,0.9724366278312291,0.15834613144397736,0.9774436090225563,0.9761904761904763,0.9841269841269841,0.998530276308054,0.9942261482831659,proposed,1,bilstm2x128-64_attention,40,38,1712.6,604551,0.982661783695221,1.0,0.1961870938539505,False,histories/proposed__seed1.csv
MLP (flattened landmarks),1,0.7857142857142857,0.7857142857142856,0.7867223470695768,0.7867223470695768,0.75,0.7543362602826164,0.7006818652153015,0.8158354218880535,0.7857142857142856,0.9444444444444444,0.9690623162845384,0.8640894167013081,MLP (flattened landmarks),1,mlp,40,38,543.1,4022279,0.6473748683929443,0.841269850730896,0.8051158785820007,False,histories/MLP_flattened_landmarks__seed1.csv
Temporal CNN (1-D),1,0.9682539682539683,0.9682539682539684,0.9680813395099109,0.9680813395099108,0.962962962962963,0.9636713886917995,0.2853700816631317,0.9720730397422128,0.9682539682539684,0.9841269841269841,0.9891240446796001,0.979974507626358,Temporal CNN (1-D),1,temporal_cnn,40,37,331.3,224839,0.9982905983924866,1.0,0.087279312312603,False,histories/Temporal_CNN_1_D__seed1.csv
CNN-LSTM (landmarks),1,0.9444444444444444,0.9444444444444445,0.9432465091299679,0.9432465091299678,0.9351851851851852,0.9364936668824991,0.23402322828769684,0.9495361781076068,0.9444444444444445,0.9761904761904762,0.9966196355085243,0.9868282670263246,CNN-LSTM (landmarks),1,cnn_lstm_landmark,40,38,665.5,323591,0.9890109896659851,0.976190447807312,0.21381215751171112,False,histories/CNN_LSTM_landmarks__seed1.csv
Unidirectional LSTM,1,0.9841269841269841,0.9841269841269842,0.9841147269718699,0.9841147269718697,0.9814814814814815,0.9816257639492189,0.09564051032066345,0.9849624060150377,0.9841269841269842,0.9920634920634921,0.9997795414462082,0.9988662131519276,Unidirectional LSTM,1,unilstm2x128-64_last,40,40,1070.3,265863,0.9328449368476868,0.976190447807312,0.22495736181735992,False,histories/Unidirectional_LSTM__seed1.csv
Unidirectional GRU,1,0.9682539682539683,0.9682539682539684,0.968450082735797,0.9684500827357969,0.962962962962963,0.9631753266137888,0.16287893056869507,0.9699248120300752,0.9682539682539684,0.9761904761904762,0.9970605526161082,0.9907230727923197,Unidirectional GRU,1,unigru2x128-64_last,40,36,1040.4,204551,0.9775335788726807,0.976190447807312,0.20506072044372559,False,histories/Unidirectional_GRU__seed1.csv
BiGRU,1,0.9841269841269841,0.9841269841269842,0.9841147269718699,0.9841147269718697,0.9814814814814815,0.9816257639492189,0.055803332477808,0.9849624060150377,0.9841269841269842,0.9920634920634921,0.9999265138154028,0.9995822890559733,BiGRU,1,bigru2x128-64_last,40,33,1286.6,448903,0.9819291830062866,1.0,0.20678220689296722,False,histories/BiGRU__seed1.csv
BiLSTM (no attention),1,0.9603174603174603,0.9603174603174602,0.9602191753894541,0.960219175389454,0.9537037037037037,0.9542648709800957,0.14603592455387115,0.9634920634920636,0.9603174603174602,0.9761904761904762,0.9972810111699001,0.9939234879651961,BiLSTM (no attention),1,bilstm2x128-64_last,40,39,1729.4,587911,0.9606837630271912,0.9682539701461792,0.3863399922847748,False,histories/BiLSTM_no_attention__seed1.csv
Transformer encoder (2 layers),1,0.9920634920634921,0.9920634920634921,0.9920573634859349,0.9920573634859349,0.9907407407407407,0.9908135545240119,0.059116993099451065,0.9924812030075189,0.9920634920634921,0.9920634920634921,0.9996325690770135,0.9982746721877157,Transformer encoder (2 layers),1,transformer_2L,40,40,774.1,332039,0.9980463981628418,0.9920634627342224,0.03308803215622902,False,histories/Transformer_encoder_2_layers__seed1.csv
ST-GCN (skeleton graph),1,0.9841269841269841,0.9841269841269842,0.9843179377013964,0.9843179377013963,0.9814814814814815,0.9816979290486694,0.09988163411617279,0.9857142857142858,0.9841269841269842,0.9920634920634921,0.9997060552616109,0.9984485022079008,ST-GCN (skeleton graph),1,stgcn,40,40,19651.0,231417,1.0,1.0,0.06249876692891121,False,histories/ST_GCN_skeleton_graph__seed1.csv
