,nenda,njema,mama,hedhi,kula,baba,habari
Full model (reference),94.44,100.0,100.0,100.0,100.0,94.44,94.44
Attention -> mean pooling,88.89,100.0,100.0,100.0,100.0,94.44,88.89
Attention -> max pooling,88.89,100.0,100.0,100.0,100.0,94.44,100.0
Attention -> last hidden state,88.89,94.44,100.0,100.0,100.0,88.89,100.0
Attention: Luong general score,88.89,100.0,100.0,100.0,100.0,94.44,100.0
Attention: scaled dot product,94.44,94.44,100.0,100.0,100.0,94.44,88.89
Unidirectional (no backward pass),88.89,100.0,100.0,100.0,100.0,88.89,88.89
Single BiLSTM layer,88.89,94.44,100.0,100.0,100.0,94.44,88.89
Three BiLSTM layers,88.89,94.44,100.0,100.0,100.0,100.0,88.89
Narrower: 64/32 units,94.44,100.0,100.0,100.0,100.0,94.44,94.44
Wider: 256/128 units,88.89,94.44,100.0,100.0,100.0,94.44,100.0
No batch normalization,94.44,100.0,100.0,100.0,100.0,94.44,88.89
No dropout,88.89,100.0,100.0,100.0,100.0,100.0,94.44
No L2 penalty,88.89,100.0,100.0,100.0,100.0,83.33,94.44
Hands only (126-d),88.89,88.89,44.44,66.67,77.78,77.78,77.78
Pose only (132-d),94.44,100.0,100.0,100.0,100.0,88.89,100.0
Plus full face (1662-d),94.44,94.44,100.0,94.44,100.0,77.78,100.0
Plus compact face (378-d),88.89,100.0,100.0,100.0,100.0,88.89,100.0
Normalization: per_sequence,88.89,94.44,100.0,100.0,100.0,83.33,94.44
Normalization: per_frame,88.89,100.0,100.0,94.44,100.0,83.33,100.0
Normalization: body_anchored,88.89,100.0,100.0,100.0,100.0,88.89,100.0
"Length: uniform resampling, not padding",88.89,100.0,100.0,100.0,100.0,88.89,88.89
No data augmentation,94.44,100.0,100.0,61.11,94.44,94.44,88.89
