,Clips,Left hand present (%),Right hand present (%),Both hands present (%),Height vs shoulders,Height vs nose,Lateral offset,Frame-to-frame motion,Path length,Direction reversals,Finger spread,Finger curl,Wrist orientation (deg),Non-manual activity,loss_without_pose,loss_without_hands
Clips,1.0,-0.1443,-0.1443,-0.2996,0.0,0.0,0.5774,0.2887,-0.2887,-0.433,0.1443,-0.1443,0.0,0.2887,-0.2185,-0.5401
Left hand present (%),-0.1443,1.0,0.7857,0.8895,-0.3571,-0.4643,-0.1786,-0.6071,0.5357,0.8571,0.1071,0.5714,0.8571,-0.7143,0.7748,-0.4009
Right hand present (%),-0.1443,0.7857,1.0,0.9636,-0.0357,-0.25,0.1786,-0.0357,0.9286,0.75,0.4286,0.6429,0.4643,-0.9286,0.6667,-0.1336
Both hands present (%),-0.2996,0.8895,0.9636,1.0,-0.1482,-0.3336,-0.0371,-0.2594,0.8524,0.8524,0.2965,0.6301,0.593,-0.9266,0.7293,-0.1387
Height vs shoulders,0.0,-0.3571,-0.0357,-0.1482,1.0,0.9643,0.3214,0.5714,0.1429,-0.4286,0.6071,0.5,-0.25,-0.1429,0.1441,0.8018
Height vs nose,0.0,-0.4643,-0.25,-0.3336,0.9643,1.0,0.1786,0.4643,-0.0714,-0.5,0.4286,0.3929,-0.2857,0.0714,0.036,0.8018
Lateral offset,0.5774,-0.1786,0.1786,-0.0371,0.3214,0.1786,1.0,0.5714,0.1786,-0.3929,0.7857,0.2143,-0.0714,-0.0357,0.1261,-0.1336
Frame-to-frame motion,0.2887,-0.6071,-0.0357,-0.2594,0.5714,0.4643,0.5714,1.0,0.2143,-0.5714,0.3929,-0.1429,-0.75,-0.0357,-0.4505,0.4009
Path length,-0.2887,0.5357,0.9286,0.8524,0.1429,-0.0714,0.1786,0.2143,1.0,0.6429,0.4286,0.5714,0.1429,-0.8929,0.4865,0.1336
Direction reversals,-0.433,0.8571,0.75,0.8524,-0.4286,-0.5,-0.3929,-0.5714,0.6429,1.0,-0.1429,0.4286,0.5714,-0.6429,0.5766,-0.2673
Finger spread,0.1443,0.1071,0.4286,0.2965,0.6071,0.4286,0.7857,0.3929,0.4286,-0.1429,1.0,0.6786,0.2143,-0.4286,0.5766,0.2673
Finger curl,-0.1443,0.5714,0.6429,0.6301,0.5,0.3929,0.2143,-0.1429,0.5714,0.4286,0.6786,1.0,0.6071,-0.6429,0.9009,0.2673
Wrist orientation (deg),0.0,0.8571,0.4643,0.593,-0.25,-0.2857,-0.0714,-0.75,0.1429,0.5714,0.2143,0.6071,1.0,-0.3929,0.8469,-0.4009
Non-manual activity,0.2887,-0.7143,-0.9286,-0.9266,-0.1429,0.0714,-0.0357,-0.0357,-0.8929,-0.6429,-0.4286,-0.6429,-0.3929,1.0,-0.6307,-0.1336
loss_without_pose,-0.2185,0.7748,0.6667,0.7293,0.1441,0.036,0.1261,-0.4505,0.4865,0.5766,0.5766,0.9009,0.8469,-0.6307,1.0,0.0
loss_without_hands,-0.5401,-0.4009,-0.1336,-0.1387,0.8018,0.8018,-0.1336,0.4009,0.1336,-0.2673,0.2673,0.2673,-0.4009,-0.1336,0.0,1.0
