Threshold tau,Coverage (%),Clips answered,Accuracy on answered (%),Errors spoken,Clips withheld
0.0000,100.0000,126,97.6200,3,0
0.0250,100.0000,126,97.6200,3,0
0.0500,100.0000,126,97.6200,3,0
0.0750,100.0000,126,97.6200,3,0
0.1000,100.0000,126,97.6200,3,0
0.1250,100.0000,126,97.6200,3,0
0.1500,100.0000,126,97.6200,3,0
0.1750,100.0000,126,97.6200,3,0
0.2000,100.0000,126,97.6200,3,0
0.2250,100.0000,126,97.6200,3,0
0.2500,100.0000,126,97.6200,3,0
0.2750,100.0000,126,97.6200,3,0
0.3000,100.0000,126,97.6200,3,0
0.3250,100.0000,126,97.6200,3,0
0.3500,100.0000,126,97.6200,3,0
0.3750,100.0000,126,97.6200,3,0
0.4000,100.0000,126,97.6200,3,0
0.4250,100.0000,126,97.6200,3,0
0.4500,100.0000,126,97.6200,3,0
0.4750,100.0000,126,97.6200,3,0
0.5000,100.0000,126,97.6200,3,0
0.5250,100.0000,126,97.6200,3,0
0.5500,100.0000,126,97.6200,3,0
0.5750,100.0000,126,97.6200,3,0
0.6000,100.0000,126,97.6200,3,0
0.6250,100.0000,126,97.6200,3,0
0.6500,100.0000,126,97.6200,3,0
0.6750,100.0000,126,97.6200,3,0
0.7000,100.0000,126,97.6200,3,0
0.7250,100.0000,126,97.6200,3,0
0.7500,99.2100,125,97.6000,3,1
0.7750,98.4100,124,98.3900,2,2
0.8000,97.6200,123,98.3700,2,3
0.8250,97.6200,123,98.3700,2,3
0.8500,97.6200,123,98.3700,2,3
0.8750,97.6200,123,98.3700,2,3
0.9000,96.8300,122,98.3600,2,4
0.9250,96.8300,122,98.3600,2,4
0.9500,96.0300,121,98.3500,2,5
0.9750,94.4400,119,99.1600,1,7
